----------- coverage: platform win32, python 3.8.1-final-0 -----------
Name                                                                                Stmts   Miss  Cover
survol\sources_types\Win32_Group\win32_NetLocalGroupGetMembers.py                      78     50    36%
survol\sources_types\Win32_NetworkConnection\__init__.py                                5      0   100%
survol\sources_types\Win32_Product\__init__.py                                        114     46    60%
survol\sources_types\Win32_Service\__init__.py                                        143     62    57%
survol\sources_types\Win32_Service\service_dependencies.py                             35     21    40%
survol\sources_types\Win32_Share\__init__.py                                            5      0   100%
survol\sources_types\Win32_Share\smbshare_files_smbclient.py                           24     24     0%
survol\sources_types\Win32_Share\smbshare_netshare.py                                  48     48     0%
survol\sources_types\Win32_UserAccount\Win32_NetUserGetGroups.py                       45     11    76%
survol\sources_types\Win32_UserAccount\Win32_NetUserGetInfo.py                         35      6    83%
survol\sources_types\Win32_UserAccount\Win32_UserAccount_process.py                    38      4    89%
survol\sources_types\Win32_UserAccount\__init__.py                                     15      4    73%
survol\sources_types\__init__.py                                                        0      0   100%
survol\sources_types\addr\__init__.py                                                 128     62    52%
survol\sources_types\addr\socket_connected_processes.py                                66     12    82%
survol\sources_types\addr\socket_host.py                                               34     34     0%
survol\sources_types\class\__init__.py                                                 16      9    44%
survol\sources_types\class\elftools_class.py                                           66     66     0%
survol\sources_types\com\__init__.py                                                   10      5    50%
survol\sources_types\com\registered_type_lib\__init__.py                                7      3    57%
survol\sources_types\com\registered_type_lib\com_registered_type_lib_versions.py       71     71     0%
survol\sources_types\com\type_lib\__init__.py                                          10      4    60%
survol\sources_types\com\type_lib\com_type_lib_entries.py                              38     38     0%
survol\sources_types\com\type_lib_entry\__init__.py                                     4      1    75%
survol\sources_types\com\type_lib_entry\coclass\__init__.py                             0      0   100%
survol\sources_types\com\type_lib_entry\com_type_lib_entry_documentation.py            38     38     0%
survol\sources_types\com\type_lib_entry\dispatch\__init__.py                            0      0   100%
survol\sources_types\com\type_lib_entry\enumeration\__init__.py                         0      0   100%
survol\sources_types\com\type_lib_entry\module\__init__.py                              0      0   100%
survol\sources_types\dbus\__init__.py                                                   0      0   100%
survol\sources_types\dbus\bus\__init__.py                                               2      0   100%
survol\sources_types\dbus\bus\dbus_bus_connections.py                                  44     44     0%
survol\sources_types\dbus\connection\__init__.py                                       27     25     7%
survol\sources_types\dbus\connection\dbus_bus_objects.py                               45     45     0%
survol\sources_types\dbus\interface\__init__.py                                         2      0   100%
survol\sources_types\dbus\object\__init__.py                                            2      0   100%
survol\sources_types\dbus\object\dbus_object_interfaces.py                             16     16     0%
survol\sources_types\enumerate_CIM_LogicalDisk.py                                      30      2    93%
survol\sources_types\enumerate_CIM_Process.py                                          43      5    88%
survol\sources_types\enumerate_cgroup.py                                               22     15    32%
survol\sources_types\enumerate_dbus_bus.py                                             15      8    47%
survol\sources_types\enumerate_memmap.py                                               82     66    20%
survol\sources_types\enumerate_python_package.py                                       40      1    98%
survol\sources_types\enumerate_socket.py                                               30     19    37%
survol\sources_types\enumerate_user.py                                                 20      3    85%
survol\sources_types\event_get_all.py                                                  18      0   100%
survol\sources_types\events_feeder_one_tick_per_second.py                              39      2    95%
survol\sources_types\events_feeder_psutil_processes_perf.py                            42      2    95%
survol\sources_types\events_feeder_psutil_system_counters.py                           55      6    89%
survol\sources_types\events_feeder_sockets_promiscuous_mode.py                         95     65    32%
survol\sources_types\events_feeder_tcpdump.py                                          64     43    33%
survol\sources_types\java\__init__.py                                                 168    164     2%
survol\sources_types\java\java_processes.py                                            30     30     0%
survol\sources_types\java\mbean\__init__.py                                            18     18     0%
survol\sources_types\java\mbean\java_mbean_information.py                              38     38     0%
survol\sources_types\linker_symbol\__init__.py                                         39     22    44%
survol\sources_types\linker_symbol\pefile_symbol_information.py                        68     68     0%
survol\sources_types\linker_symbol\symbol_information.py                               28     28     0%
survol\sources_types\memmap\__init__.py                                                49     15    69%
survol\sources_types\memmap\memmap_processes.py                                        11     11     0%
survol\sources_types\memmap\memmap_to_file.py                                          14     14     0%
survol\sources_types\mysql\__init__.py                                                 30     22    27%
survol\sources_types\mysql\database\__init__.py                                        14     14     0%
survol\sources_types\mysql\database\database_referential_constraints.py                44     44     0%
survol\sources_types\mysql\database\database_tables.py                                 42     42     0%
survol\sources_types\mysql\instance\__init__.py                                        13     13     0%
survol\sources_types\mysql\instance\instance_databases.py                              43     43     0%
survol\sources_types\mysql\instance\instance_sessions.py                               53     53     0%
survol\sources_types\mysql\query\__init__.py                                           23     23     0%
survol\sources_types\mysql\query\mysql_query_dependencies.py                           19     19     0%
survol\sources_types\mysql\session\__init__.py                                         14     14     0%
survol\sources_types\mysql\session\mysql_session_information.py                        60     60     0%
survol\sources_types\mysql\table\__init__.py                                           18     18     0%
survol\sources_types\mysql\table\mysql_table_information.py                            58     58     0%
survol\sources_types\mysql\table\mysql_table_referential_constraints.py                46     46     0%
survol\sources_types\neighborhood\__init__.py                                          34     28    18%
survol\sources_types\neighborhood\cgi_arp_async.py                                     84     12    86%
survol\sources_types\neighborhood\survol_neighborhood.py                               54     40    26%
survol\sources_types\neighborhood\wbem_neighborhood.py                                 53     40    25%
survol\sources_types\nmap\__init__.py                                                   2      0   100%
survol\sources_types\nmap\nmap_broadcast_ms_sql_discover.py                            73     52    29%
survol\sources_types\nmap\nmap_broadcast_netbios_master_browser.py                     36     20    44%
survol\sources_types\nmap\nmap_broadcast_upnp_info.py                                  46     30    35%
survol\sources_types\nmap\nmap_ping_scan.py                                            47     28    40%
survol\sources_types\nmap\nmap_run.py                                                  41     22    46%
survol\sources_types\odbc\__init__.py                                                  75     45    40%
survol\sources_types\odbc\column\__init__.py                                           18      7    61%
survol\sources_types\odbc\dsn\__init__.py                                              70     47    33%
survol\sources_types\odbc\dsn\odbc_dsn_informations.py                                 48     48     0%
survol\sources_types\odbc\dsn\odbc_dsn_procedures.py                                   36     36     0%
survol\sources_types\odbc\dsn\odbc_dsn_tables.py                                       36     36     0%
survol\sources_types\odbc\procedure\__init__.py                                        18      7    61%
survol\sources_types\odbc\table\__init__.py                                            17      6    65%
survol\sources_types\odbc\table\odbc_table_columns.py                                  40     40     0%
survol\sources_types\open_files.py                                                     57     44    23%
survol\sources_types\oracle\__init__.py                                                19     10    47%
survol\sources_types\oracle\db\__init__.py                                             10      3    70%
survol\sources_types\oracle\db\oracle_db_parse_queries.py                              39     39     0%
survol\sources_types\oracle\db\oracle_db_processes.py                                  55     55     0%
survol\sources_types\oracle\db\oracle_db_schemas.py                                    42     42     0%
survol\sources_types\oracle\function\__init__.py                                       16      8    50%
survol\sources_types\oracle\library\__init__.py                                        17      8    53%
survol\sources_types\oracle\package\__init__.py                                        21     12    43%
survol\sources_types\oracle\package\oracle_package_dependencies.py                     29     29     0%
survol\sources_types\oracle\package\oracle_packages_procedures.py                      28     28     0%
survol\sources_types\oracle\package_body\__init__.py                                   21     10    52%
survol\sources_types\oracle\package_body\oracle_package_body_dependencies.py           29     29     0%
survol\sources_types\oracle\procedure\__init__.py                                      16      8    50%
survol\sources_types\oracle\query\__init__.py                                          37     21    43%
survol\sources_types\oracle\query\oracle_query_dependencies.py                         21     21     0%
survol\sources_types\oracle\schema\__init__.py                                         16      6    62%
survol\sources_types\oracle\schema\oracle_schema_functions.py                          25     25     0%
survol\sources_types\oracle\schema\oracle_schema_libraries.py                          25     25     0%
survol\sources_types\oracle\schema\oracle_schema_package_bodies.py                     27     27     0%
survol\sources_types\oracle\schema\oracle_schema_packages.py                           25     25     0%
survol\sources_types\oracle\schema\oracle_schema_procedures.py                         25     25     0%
survol\sources_types\oracle\schema\oracle_schema_sequences.py                          25     25     0%
survol\sources_types\oracle\schema\oracle_schema_synonyms.py                           25     25     0%
survol\sources_types\oracle\schema\oracle_schema_tables.py                             25     25     0%
survol\sources_types\oracle\schema\oracle_schema_triggers.py                           25     25     0%
survol\sources_types\oracle\schema\oracle_schema_types.py                              25     25     0%
survol\sources_types\oracle\schema\oracle_schema_views.py                              25     25     0%
survol\sources_types\oracle\sequence\__init__.py                                       16      8    50%
survol\sources_types\oracle\session\__init__.py                                         9      3    67%
survol\sources_types\oracle\session\oracle_db_session.py                               42     42     0%
survol\sources_types\oracle\synonym\__init__.py                                        16      8    50%
survol\sources_types\oracle\table\__init__.py                                          17      7    59%
survol\sources_types\oracle\table\oracle_table_dependencies.py                         26     26     0%
survol\sources_types\oracle\trigger\__init__.py                                        16      8    50%
survol\sources_types\oracle\type\__init__.py                                           17      8    53%
survol\sources_types\oracle\view\__init__.py                                           17      7    59%
survol\sources_types\oracle\view\oracle_view_dependencies.py                           31     31     0%
survol\sources_types\python\__init__.py                                                17      3    82%
survol\sources_types\python\package\__init__.py                                       137     52    62%
survol\sources_types\python\package\python_package_dis.py                              48     35    27%
survol\sources_types\rabbitmq\__init__.py                                              24     18    25%
survol\sources_types\rabbitmq\connection\__init__.py                                   31     19    39%
survol\sources_types\rabbitmq\connection\connection_properties.py                      58     58     0%
survol\sources_types\rabbitmq\exchange\__init__.py                                     10      4    60%
survol\sources_types\rabbitmq\list_configurations.py                                   28     17    39%
survol\sources_types\rabbitmq\manager\__init__.py                                      10      4    60%
survol\sources_types\rabbitmq\manager\get_overview.py                                  27     27     0%
survol\sources_types\rabbitmq\manager\list_connections.py                              51     51     0%
survol\sources_types\rabbitmq\manager\list_exchanges.py                                35     35     0%
survol\sources_types\rabbitmq\manager\list_queues.py                                   36     36     0%
survol\sources_types\rabbitmq\manager\list_users.py                                    40     40     0%
survol\sources_types\rabbitmq\manager\list_vhosts.py                                   40     40     0%
survol\sources_types\rabbitmq\queue\__init__.py                                        21     11    48%
survol\sources_types\rabbitmq\queue\queue_bindings.py                                  33     33     0%
survol\sources_types\rabbitmq\user\__init__.py                                          9      3    67%
survol\sources_types\rabbitmq\vhost\__init__.py                                        15      6    60%
survol\sources_types\rabbitmq\vhost\list_vhost_exchanges.py                            30     30     0%
survol\sources_types\rabbitmq\vhost\list_vhost_queues.py                               30     30     0%
survol\sources_types\rpm\__init__.py                                                   26     14    46%
survol\sources_types\smbfile\__init__.py                                                2      0   100%
survol\sources_types\smbfile\smbfile_pysmb.py                                          32     32     0%
survol\sources_types\smbfile\smbfile_smbclient.py                                      24     24     0%
survol\sources_types\smbserver\__init__.py                                             11      4    64%
survol\sources_types\smbserver\smbserver_shares_smbclient.py                           43     43     0%
survol\sources_types\sql\__init__.py                                                    0      0   100%
survol\sources_types\sql\query\__init__.py                                             56     30    46%
survol\sources_types\sql\query\tables_from_sql_query.py                                20     20     0%
survol\sources_types\sql\sheet\__init__.py                                              5      1    80%
survol\sources_types\sqlite\__init__.py                                                66     48    27%
survol\sources_types\sqlite\column\__init__.py                                         11      3    73%
survol\sources_types\sqlite\file\__init__.py                                           15      6    60%
survol\sources_types\sqlite\file\sqlite_tables_and_views.py                            19     19     0%
survol\sources_types\sqlite\query\__init__.py                                          27     15    44%
survol\sources_types\sqlite\query\sqlite_query_dependencies.py                         19     19     0%
survol\sources_types\sqlite\table\__init__.py                                          18      8    56%
